Год;1-комнатные;2-комнатные;3-комнатные;4-комнатные
2010;48000;52000;56000;61000
2011;50000;54000;58000;63000
2012;55000;59000;64000;69000
2013;61000;65000;70000;76000
2014;64000;68000;73000;79000
2015;61000;66000;72000;78000
2016;59000;64000;70000;76000
2017;60000;65000;71000;77000
2018;65000;71000;78000;84000
2019;74000;81000;89000;95000
2020;95000;104000;114000;120000
2021;112000;124000;138000;143000
2022;142000;158000;177000;180000
2023;151000;170000;193000;191000
2024;159000;181000;208000;201000
